Filename,Name,Extension,Date
etauma_stis_003.fits,etauma,_stis_003,2015-01-05T21:02:38
etauma_stis_004.fits,etauma,_stis_004,30-Aug-2019
etauma_stis_005.fits,etauma,_stis_005,21-Mar-2020
etauma_stis_006.fits,etauma,_stis_006,30-Jan-2022
etauma_stis_007.fits,etauma,_stis_007,25-Oct-2022
feige110_005.fits,feige110,_005,2015-01-06T17:00:20
feige110_stis_001.fits,feige110,_stis_001,2015-01-06T17:00:20
feige110_stisnic_002.fits,feige110,_stisnic_002,2015-01-06T17:00:20
feige110_stisnic_003.fits,feige110,_stisnic_003,2010-02-10T23:23:12
feige110_stisnic_004.fits,feige110,_stisnic_004,2013-11-18T19:20:56
feige110_stisnic_005.fits,feige110,_stisnic_005,2015-01-06T17:00:20
feige110_stisnic_006.fits,feige110,_stisnic_006,2015-01-05T21:02:38
feige110_stisnic_007.fits,feige110,_stisnic_007,30-Aug-2019
feige110_stisnic_008.fits,feige110,_stisnic_008,21-Mar-2020
feige34_005.fits,feige34,_005,2015-01-06T17:00:20
feige34_stis_001.fits,feige34,_stis_001,2015-01-06T17:00:20
feige34_stis_002.fits,feige34,_stis_002,2013-11-18T19:20:56
feige34_stis_003.fits,feige34,_stis_003,2015-01-06T17:00:20
feige34_stis_004.fits,feige34,_stis_004,2015-01-05T21:02:38
feige34_stis_005.fits,feige34,_stis_005,30-Aug-2019
feige34_stis_006.fits,feige34,_stis_006,21-Mar-2020
feige66_002.fits,feige66,_002,2015-01-06T17:00:20
feige67_002.fits,feige67,_002,2015-01-06T17:00:20
g191b2b_005.fits,g191b2b,_005,2015-01-06T17:00:20
g191b2b_fos_003.fits,g191b2b_fos,_003,2015-01-06T17:00:20
g191b2b_mod_004.fits,g191_mod,g191b2b_mod_004,2015-01-06T17:00:20
g191b2b_mod_005.fits,g191b2b_mod,_005,2015-01-06T17:00:20
g191b2b_mod_007.fits,g191b2b_mod,_007,2010-02-10T23:28:11
g191b2b_mod_008.fits,g191b2b_mod,_008,2013-11-18T19:20:56
g191b2b_mod_009.fits,g191b2b_mod,_009,2015-01-06T17:00:20
g191b2b_mod_010.fits,g191b2b_mod,_010,2015-01-06T17:00:20
g191b2b_mod_011.fits,g191b2b_mod,_011,24-Mar-2020
g191b2b_mod_012.fits,g191b2b_mod,_012,13-Feb-2023
g191b2b_nic_001.fits,g191b2b_nic,_001,2015-01-06T17:00:20
g191b2b_stis_001.fits,g191b2b,_stis_001,2015-01-06T17:00:20
g191b2b_stisfuse_001.fits,g191b2b,_stisfuse_001,24-Oct-2013 12:18:35.00
g191b2b_stisnic_001.fits,g191b2b,_stisnic_001,2015-01-06T17:00:20
g191b2b_stisnic_002.fits,g191b2b,_stisnic_002,2015-01-06T17:00:20
g191b2b_stisnic_003.fits,g191b2b,_stisnic_003,2010-02-10T23:23:13
g191b2b_stisnic_004.fits,g191b2b,_stisnic_004,2013-11-18T19:20:56
g191b2b_stisnic_005.fits,g191b2b,_stisnic_005,2015-01-06T17:00:20
g191b2b_stisnic_006.fits,g191b2b,_stisnic_006,2015-01-05T21:02:38
g191b2b_stiswfcnic_001.fits,g191b2b,_stiswfcnic_001,17-Jan-2019
g191b2b_stiswfcnic_002.fits,g191b2b,_stiswfcnic_002,21-Mar-2020
g191b2b_stiswfcnic_003.fits,g191b2b,_stiswfcnic_003,2-Mar-2021
g191b2b_stiswfcnic_004.fits,g191b2b,_stiswfcnic_004,16-Feb-2023
g93_48_004.fits,g93-48,g93_48_004,2015-01-06T17:00:20
gd108_005.fits,gd108,_005,2015-01-06T17:00:20
gd153_fos_003.fits,gd153_fos,_003,2015-01-06T17:00:20
gd153_mod_004.fits,gd153_mod,_004,2015-01-06T17:00:20
gd153_mod_005.fits,gd153_mod,_005,2015-01-06T17:00:20
gd153_mod_007.fits,gd153_mod,_007,2010-02-10T23:28:12
gd153_mod_008.fits,gd153_mod,_008,2013-11-18T19:20:56
gd153_mod_009.fits,gd153_mod,_009,2015-01-06T17:00:20
gd153_mod_010.fits,gd153_mod,_010,2015-01-06T17:00:20
gd153_mod_011.fits,gd153_mod,_011,24-Mar-2020
gd153_mod_012.fits,gd153_mod,_012,13-Feb-2023
